,rank,title,total_ratings,installs_in_millions,average_rating,growth_30_days,growth_60_days,price,category,5_star_ratings,4_star_ratings,3_star_ratings,2_star_ratings,1_star_ratings,5_star_percent,4_star_percent,3_star_percent,2_star_percent,1_star_percent,paid
204,5,Sonic Dash - Endless Running & Racing Game,5402149,100.0,4,0.7,1.5,0.0,GAME ARCADE,4290826,539449,214946,88100,268825,79.43,9.99,3.98,1.63,4.98,False
205,6,Fruit Ninja®,5367599,100.0,4,0.2,0.4,0.0,GAME ARCADE,3745457,583916,354239,150993,532992,69.78,10.88,6.6,2.81,9.93,False
206,7,Jetpack Joyride,4919742,100.0,4,0.1,0.2,0.0,GAME ARCADE,3676322,567777,271954,94004,309682,74.73,11.54,5.53,1.91,6.29,False
207,8,Temple Run,4816448,500.0,4,0.7,1.5,0.0,GAME ARCADE,3184391,438320,318164,204384,671187,66.11,9.1,6.61,4.24,13.94,False
208,9,Cooking Fever – Restaurant Game,4565220,100.0,4,0.6,1.2,0.0,GAME ARCADE,3220230,532157,287592,139793,385446,70.54,11.66,6.3,3.06,8.44,False
209,10,Minecraft,4100452,10.0,4,234.3,2.4,7.49,GAME ARCADE,3324435,317144,135048,65677,258146,81.07,7.73,3.29,1.6,6.3,True
210,11,Vector,3398125,100.0,4,0.2,0.5,0.0,GAME ARCADE,2395375,354636,204730,99007,344374,70.49,10.44,6.02,2.91,10.13,False
211,12,Granny,3290970,100.0,4,1.4,2.9,0.0,GAME ARCADE,2393224,283587,152239,95032,366885,72.72,8.62,4.63,2.89,11.15,False
212,13,DragonFlight,2858076,10.0,4,0.0,0.2,0.0,GAME ARCADE,1795281,475749,286985,88464,211595,62.81,16.65,10.04,3.1,7.4,False
213,14,Red Ball 4,2342083,100.0,4,1.0,2.1,0.0,GAME ARCADE,1816379,198405,90386,47422,189489,77.55,8.47,3.86,2.02,8.09,False
214,15,Minecraft Trial,2222817,100.0,4,3.5,7.7,0.0,GAME ARCADE,1461686,192188,120639,79343,368958,65.76,8.65,5.43,3.57,16.6,False
215,16,Block Craft 3D: Building Simulator Games For Free,2156973,100.0,4,1.8,3.9,0.0,GAME ARCADE,1510574,191501,113211,71395,270289,70.03,8.88,5.25,3.31,12.53,False
216,17,Cooking Madness - A Chef's Restaurant Games,2096404,100.0,4,1.8,3.4,0.0,GAME ARCADE,1726149,161104,70669,34470,104010,82.34,7.68,3.37,1.64,4.96,False
217,18,Blockman Go,2062961,50.0,4,3.7,8.6,0.0,GAME ARCADE,1624579,147084,71698,37603,181994,78.75,7.13,3.48,1.82,8.82,False
218,19,Galaxy Attack: Alien Shooter,1988570,100.0,4,1.2,2.6,0.0,GAME ARCADE,1572089,156316,80008,41595,138560,79.06,7.86,4.02,2.09,6.97,False
219,20,Paper.io 2,1910010,100.0,3,0.3,0.7,0.0,GAME ARCADE,1110353,239968,152266,89330,318090,58.13,12.56,7.97,4.68,16.65,False
220,21,Angry Birds Transformers,1900382,50.0,4,0.2,0.4,0.0,GAME ARCADE,1512745,178112,72290,31011,106221,79.6,9.37,3.8,1.63,5.59,False
221,22,Hungry Shark World,1858504,100.0,4,1.5,2.5,0.0,GAME ARCADE,1420595,193116,86126,40095,118569,76.44,10.39,4.63,2.16,6.38,False
222,23,Glow Hockey,1793741,100.0,4,0.1,0.2,0.0,GAME ARCADE,1171395,203409,147447,59488,212000,65.3,11.34,8.22,3.32,11.82,False
223,24,Geometry Dash Meltdown,1735909,50.0,4,0.4,0.7,0.0,GAME ARCADE,1300677,187802,93990,34872,118566,74.93,10.82,5.41,2.01,6.83,False
224,25,Angry Birds Seasons,1679572,100.0,4,0.0,0.0,0.0,GAME ARCADE,1242877,203320,96109,40077,97187,74.0,12.11,5.72,2.39,5.79,False
225,26,윈드러너,1573012,10.0,3,0.0,0.1,0.0,GAME ARCADE,940005,180923,135759,68822,247501,59.76,11.5,8.63,4.38,15.73,False
226,27,Crowd City,1564855,100.0,4,0.6,1.4,0.0,GAME ARCADE,1071973,156950,94348,56534,185047,68.5,10.03,6.03,3.61,11.83,False
227,28,Join Clash 3D,1493740,100.0,4,4.5,14.0,0.0,GAME ARCADE,934431,158781,126162,67909,206456,62.56,10.63,8.45,4.55,13.82,False
228,29,Tank Stars,1471629,100.0,4,1.5,3.4,0.0,GAME ARCADE,975205,141609,89864,56824,208125,66.27,9.62,6.11,3.86,14.14,False
229,30,Angry Birds Classic,1470166,100.0,4,0.0,0.0,0.0,GAME ARCADE,1069403,194779,77716,36573,91693,72.74,13.25,5.29,2.49,6.24,False
230,31,Brothers in Arms® 3,1458849,10.0,4,0.2,0.3,0.0,GAME ARCADE,1012396,180762,89016,37984,138688,69.4,12.39,6.1,2.6,9.51,False
231,32,Rise Up,1340841,100.0,3,0.7,1.2,0.0,GAME ARCADE,725819,164205,142281,80224,228309,54.13,12.25,10.61,5.98,17.03,False
232,33,Payback 2 - The Battle Sandbox,1337580,100.0,4,2.7,5.6,0.0,GAME ARCADE,1013921,120437,57288,31344,114587,75.8,9.0,4.28,2.34,8.57,False
233,34,Angry Birds Space,1254191,100.0,4,0.1,0.3,0.0,GAME ARCADE,921162,142312,80488,32165,78061,73.45,11.35,6.42,2.56,6.22,False
234,35,Skater Boy,1215112,100.0,4,0.1,0.1,0.0,GAME ARCADE,914036,101920,67294,27922,103938,75.22,8.39,5.54,2.3,8.55,False
235,36,Ant Smasher,1205884,100.0,4,0.0,0.1,0.0,GAME ARCADE,770961,125694,97115,38288,173823,63.93,10.42,8.05,3.18,14.41,False
236,37,Partymasters - Fun Idle Game,1188910,50.0,4,0.1,0.3,0.0,GAME ARCADE,785999,93502,67304,41596,200506,66.11,7.86,5.66,3.5,16.86,False
237,38,Tap Tap Dash,1153022,50.0,4,0.2,0.4,0.0,GAME ARCADE,767538,152124,84721,37763,110873,66.57,13.19,7.35,3.28,9.62,False
238,39,101-in-1 Games,1136712,10.0,4,0.0,0.1,0.0,GAME ARCADE,794750,206822,80806,14190,40143,69.92,18.19,7.11,1.25,3.53,False
239,40,Doodle Jump,1132730,50.0,4,0.1,0.1,0.0,GAME ARCADE,829701,135593,64673,23686,79075,73.25,11.97,5.71,2.09,6.98,False
240,41,Hole.io,1102273,100.0,4,0.4,0.8,0.0,GAME ARCADE,690857,140198,76072,45368,149775,62.68,12.72,6.9,4.12,13.59,False
241,42,Zombie Roadkill 3D,1089029,50.0,4,0.4,0.8,0.0,GAME ARCADE,749202,118094,74237,36598,110896,68.8,10.84,6.82,3.36,10.18,False
242,43,Rider,1082604,50.0,4,0.8,1.8,0.0,GAME ARCADE,649183,141827,91623,48150,151818,59.97,13.1,8.46,4.45,14.02,False
243,44,Lep's World 2,1079670,100.0,4,0.5,1.0,0.0,GAME ARCADE,811052,81884,50974,31690,104068,75.12,7.58,4.72,2.94,9.64,False
244,45,Lep's World,1079537,100.0,4,1.1,2.3,0.0,GAME ARCADE,836216,78970,45685,27253,91411,77.46,7.32,4.23,2.52,8.47,False
245,46,Angry Birds Friends,1066764,100.0,4,1.0,1.9,0.0,GAME ARCADE,730329,115731,66556,33722,120423,68.46,10.85,6.24,3.16,11.29,False
246,47,Geometry Dash World,1042160,50.0,4,1.1,1.9,0.0,GAME ARCADE,760677,112796,55978,23795,88911,72.99,10.82,5.37,2.28,8.53,False
247,48,Rail Rush,1040051,50.0,4,0.2,0.5,0.0,GAME ARCADE,774936,103632,58908,24854,77719,74.51,9.96,5.66,2.39,7.47,False
248,49,Lep's World 3,988381,50.0,4,0.4,0.9,0.0,GAME ARCADE,752024,81739,45929,26358,82328,76.09,8.27,4.65,2.67,8.33,False
249,50,Knife Hit,955594,100.0,4,1.2,2.5,0.0,GAME ARCADE,684749,89958,58706,31681,90497,71.66,9.41,6.14,3.32,9.47,False
250,51,Stickman Party: 1 2 3 4 Player Games Free,949510,100.0,4,6.5,14.0,0.0,GAME ARCADE,736043,64772,37205,22355,89132,77.52,6.82,3.92,2.35,9.39,False
251,52,Zombie Smasher,926298,50.0,4,0.1,0.2,0.0,GAME ARCADE,671799,107479,61137,20868,65013,72.53,11.6,6.6,2.25,7.02,False
252,53,1945 Air Force - Airplane Shooting Games,923982,50.0,4,9.2,19.1,0.0,GAME ARCADE,712509,111993,45974,15592,37912,77.11,12.12,4.98,1.69,4.1,False
253,54,Stack Ball - Blast through platforms,903937,100.0,4,3.3,7.8,0.0,GAME ARCADE,602667,87709,60378,37674,115506,66.67,9.7,6.68,4.17,12.78,False
254,55,Cookie Run: OvenBreak - Endless Running Platformer,883825,10.0,4,0.7,1.5,0.0,GAME ARCADE,658521,87562,42961,20344,74434,74.51,9.91,4.86,2.3,8.42,False
255,56,Subway Princess Runner,878563,100.0,4,5.6,11.2,0.0,GAME ARCADE,594828,74318,50544,35093,123778,67.7,8.46,5.75,3.99,14.09,False
256,57,PAC-MAN,860147,100.0,3,0.3,0.7,0.0,GAME ARCADE,523785,98246,65754,38475,133885,60.89,11.42,7.64,4.47,15.57,False
257,58,Smash Hit,827611,100.0,4,0.0,0.1,0.0,GAME ARCADE,647207,100159,36474,9363,34405,78.2,12.1,4.41,1.13,4.16,False
258,59,Multiplayer for Minecraft PE - MCPE Servers,791425,10.0,4,0.3,0.7,0.0,GAME ARCADE,534451,43551,39653,26844,146923,67.53,5.5,5.01,3.39,18.56,False
