,rank,title,total_ratings,installs_in_millions,average_rating,growth_30_days,growth_60_days,price,category,5_star_ratings,4_star_ratings,3_star_ratings,2_star_ratings,1_star_ratings,5_star_percent,4_star_percent,3_star_percent,2_star_percent,1_star_percent,paid
469,53,Solitaire,157757,5.0,4,1.0,2.7,0.0,GAME CARD,121771,32009,6485,1307,3182,73.91,19.43,3.94,0.79,1.93,False
470,53,Solitaire,157757,5.0,4,1.0,2.7,0.0,GAME CARD,114538,32551,6438,1309,2919,72.6,20.63,4.08,0.83,1.85,False
471,54,Truco ZingPlay: Jogo de cartas online grátis,155922,1.0,4,0.2,0.4,0.0,GAME CARD,115228,10542,7061,4284,18804,73.9,6.76,4.53,2.75,12.06,False
472,55,ไพ่แคง - มีดัมมี่ ป๊อกเด้ง ไฮโล เก้าเก,155644,5.0,4,2.1,4.3,0.0,GAME CARD,129663,10105,5550,2561,7763,83.31,6.49,3.57,1.65,4.99,False
473,56,Fairway Solitaire - Card Game,154738,5.0,4,0.6,1.4,0.0,GAME CARD,116190,23913,7511,2297,4824,75.09,15.45,4.85,1.48,3.12,False
474,57,Solitaire: classic card game,153690,5.0,4,1.5,3.4,0.0,GAME CARD,136827,9554,2785,1257,3264,89.03,6.22,1.81,0.82,2.12,False
475,58,Dummy Hero,152145,1.0,4,0.2,0.3,0.0,GAME CARD,102186,25534,13116,3079,8228,67.16,16.78,8.62,2.02,5.41,False
476,59,Solitaire Collection,150087,5.0,4,0.4,1.1,0.0,GAME CARD,121848,19155,4401,1457,3224,81.19,12.76,2.93,0.97,2.15,False
477,60,Reigns,146718,0.5,4,0.1,0.1,2.99,GAME CARD,108356,25417,5887,2868,4187,73.85,17.32,4.01,1.95,2.85,True
478,61,Solitaire Classic,145613,5.0,4,0.7,1.6,0.0,GAME CARD,114843,19267,5656,1668,4177,78.87,13.23,3.88,1.15,2.87,False
479,62,Solitaire!,145481,10.0,4,0.0,0.0,0.0,GAME CARD,106115,27404,6189,1966,3803,72.94,18.84,4.25,1.35,2.61,False
480,63,The Elder Scrolls: Legends,143615,1.0,3,0.1,0.1,0.0,GAME CARD,85985,19159,9904,5796,22768,59.87,13.34,6.9,4.04,15.85,False
481,64,Solitaire,142577,10.0,4,1.4,2.9,0.0,GAME CARD,114899,14187,5903,2100,5485,80.59,9.95,4.14,1.47,3.85,False
482,65,Spider Solitaire,140758,10.0,4,0.4,1.0,0.0,GAME CARD,106869,21050,6134,1638,5065,75.93,14.95,4.36,1.16,3.6,False
483,65,Spider Solitaire,140758,10.0,4,0.4,1.0,0.0,GAME CARD,94475,20067,5296,1475,4247,75.24,15.98,4.22,1.17,3.38,False
484,66,Rummy 45 - Remi Etalat,138755,1.0,4,0.8,1.8,0.0,GAME CARD,117683,11887,3998,1196,3988,84.82,8.57,2.88,0.86,2.87,False
485,67,三國殺名將傳,137405,0.5,4,0.2,0.4,0.0,GAME CARD,92609,18503,10976,3668,11646,67.4,13.47,7.99,2.67,8.48,False
486,68,Classic Solitaire,136367,1.0,4,0.1,0.3,0.0,GAME CARD,101950,25090,4293,1417,3614,74.76,18.4,3.15,1.04,2.65,False
487,69,Eredan Arena PVP,127654,1.0,4,0.0,0.0,0.0,GAME CARD,96817,11631,5555,3667,9982,75.84,9.11,4.35,2.87,7.82,False
488,70,뉴 한판 맞고 (데이터 필요없는 무료 고스톱),127104,1.0,4,0.0,0.0,0.0,GAME CARD,76095,26217,12177,3596,9016,59.87,20.63,9.58,2.83,7.09,False
489,71,Descarte,126880,5.0,4,0.3,0.6,0.0,GAME CARD,83483,19818,9609,3609,10359,65.8,15.62,7.57,2.84,8.16,False
490,72,Spider Solitaire,125561,10.0,4,0.8,1.7,0.0,GAME CARD,106869,21050,6134,1638,5065,75.93,14.95,4.36,1.16,3.6,False
491,72,Spider Solitaire,125561,10.0,4,0.8,1.7,0.0,GAME CARD,94475,20067,5296,1475,4247,75.24,15.98,4.22,1.17,3.38,False
492,73,Phase 10: World Tour,124281,1.0,4,4.3,9.0,0.0,GAME CARD,91703,12202,4426,3912,12034,73.79,9.82,3.56,3.15,9.68,False
493,74,Pokémon TCG Online,121295,5.0,4,0.9,1.9,0.0,GAME CARD,85332,14387,6518,3129,11927,70.35,11.86,5.37,2.58,9.83,False
494,75,애니팡 맞고,116379,1.0,3,0.1,0.7,0.0,GAME CARD,58634,16991,13211,6370,21171,50.38,14.6,11.35,5.47,18.19,False
495,76,Belote Multiplayer,115102,1.0,4,1.3,3.1,0.0,GAME CARD,65184,33291,10404,1957,4263,56.63,28.92,9.04,1.7,3.7,False
496,77,피망 섯다,113870,1.0,4,0.5,0.5,0.0,GAME CARD,74180,16081,8035,3008,12563,65.15,14.12,7.06,2.64,11.03,False
497,78,大富豪BEST,113663,1.0,4,0.0,0.1,0.0,GAME CARD,63095,32122,11977,1919,4548,55.51,28.26,10.54,1.69,4.0,False
498,79,BlackJack 21 - Online Blackjack multiplayer casino,113566,5.0,4,0.2,0.3,0.0,GAME CARD,83970,12489,4286,2178,10641,73.94,11.0,3.77,1.92,9.37,False
499,80,Solitaire Showtime: Tri Peaks Solitaire Free & Fun,111394,1.0,4,5.7,121.1,0.0,GAME CARD,78190,20777,8995,1557,1874,70.19,18.65,8.08,1.4,1.68,False
500,81,한게임 신맞고 : 대한민국 원조 고스톱,109280,1.0,3,2.3,3.5,0.0,GAME CARD,62429,14950,9248,3981,18670,57.13,13.68,8.46,3.64,17.08,False
501,82,Absolute Bingo- Free Bingo Games Offline or Online,109069,10.0,4,0.0,0.1,0.0,GAME CARD,85752,15131,4027,1369,2788,78.62,13.87,3.69,1.26,2.56,False
502,83,Batak HD - İnternetsiz Batak,107962,10.0,4,0.2,0.4,0.0,GAME CARD,67747,14080,8338,3145,14649,62.75,13.04,7.72,2.91,13.57,False
503,84,Mega Hit Poker: Texas Holdem,107933,1.0,4,3.6,6.2,0.0,GAME CARD,78082,14437,5008,2001,8403,72.34,13.38,4.64,1.85,7.79,False
504,85,Spider Solitaire,107183,5.0,4,1.1,1.5,0.0,GAME CARD,83092,16456,3117,1348,3167,77.53,15.35,2.91,1.26,2.95,False
505,86,Solitaire,106773,5.0,4,4.3,8.9,0.0,GAME CARD,90322,9155,3306,1009,2979,84.59,8.57,3.1,0.95,2.79,False
506,86,Solitaire,106773,5.0,4,4.3,8.9,0.0,GAME CARD,88759,7238,2562,919,2954,86.65,7.07,2.5,0.9,2.88,False
507,86,Solitaire,106773,5.0,4,4.3,8.9,0.0,GAME CARD,66889,11772,5441,4213,10554,67.65,11.91,5.5,4.26,10.67,False
508,87,LG Smart Truco,106689,5.0,4,0.2,0.6,0.0,GAME CARD,68707,14719,7514,4051,11695,64.4,13.8,7.04,3.8,10.96,False
509,88,Solitaire Cruise: Classic Tripeaks Cards Games,103958,5.0,4,10.0,27.8,0.0,GAME CARD,70597,18028,8210,1847,5273,67.91,17.34,7.9,1.78,5.07,False
510,89,Gin Rummy Free,103945,1.0,4,0.1,0.3,0.0,GAME CARD,66476,25258,6709,1739,3759,63.96,24.3,6.45,1.67,3.62,False
511,90,Solitaire,102434,10.0,4,4.7,13.1,0.0,GAME CARD,90322,9155,3306,1009,2979,84.59,8.57,3.1,0.95,2.79,False
512,90,Solitaire,102434,10.0,4,4.7,13.1,0.0,GAME CARD,88759,7238,2562,919,2954,86.65,7.07,2.5,0.9,2.88,False
513,90,Solitaire,102434,10.0,4,4.7,13.1,0.0,GAME CARD,66889,11772,5441,4213,10554,67.65,11.91,5.5,4.26,10.67,False
514,91,Solitaire - Make Free Money & Play the Card Game,101659,1.0,4,1.3,2.8,0.0,GAME CARD,67959,14879,8459,2829,7529,66.85,14.64,8.32,2.78,7.41,False
515,92,Solitaire: Super Challenges,100719,1.0,4,0.0,0.1,0.0,GAME CARD,69497,20485,5637,1307,3791,69.0,20.34,5.6,1.3,3.76,False
516,93,Solitaire,98872,10.0,4,0.2,0.5,0.0,GAME CARD,90322,9155,3306,1009,2979,84.59,8.57,3.1,0.95,2.79,False
517,93,Solitaire,98872,10.0,4,0.2,0.5,0.0,GAME CARD,88759,7238,2562,919,2954,86.65,7.07,2.5,0.9,2.88,False
518,93,Solitaire,98872,10.0,4,0.2,0.5,0.0,GAME CARD,66889,11772,5441,4213,10554,67.65,11.91,5.5,4.26,10.67,False
519,94,Solitaire Tripeaks: Farm Adventure,97299,1.0,4,1.4,3.1,0.0,GAME CARD,73069,13513,5613,1787,3315,75.1,13.89,5.77,1.84,3.41,False
520,95,Cribbage Classic,97018,1.0,4,0.7,1.3,0.0,GAME CARD,68858,21134,3377,1368,2278,70.98,21.78,3.48,1.41,2.35,False
521,96,Tien Len - Southern Poker,94069,10.0,4,0.1,0.3,0.0,GAME CARD,67229,9785,8896,2076,6080,71.47,10.4,9.46,2.21,6.46,False
522,97,Otogi: Spirit Agents,91698,1.0,4,0.0,0.1,0.0,GAME CARD,59670,16308,6950,2426,6341,65.07,17.79,7.58,2.65,6.92,False
523,98,Happy Scratch,90695,1.0,4,0.3,0.8,0.0,GAME CARD,75861,4012,2827,1602,6391,83.65,4.42,3.12,1.77,7.05,False
524,99,Epic Cards Battle(TCG),90585,1.0,4,74.3,148.5,0.0,GAME CARD,56281,19515,8904,2133,3749,62.13,21.54,9.83,2.35,4.14,False
525,100,Age of Ishtaria - A.Battle RPG,88866,1.0,4,0.0,0.0,0.0,GAME CARD,49649,16835,7470,3670,11240,55.87,18.94,8.41,4.13,12.65,False
526,1,Zynga Poker™ – Free Texas Holdem Online Card Games,2582669,50.0,4,393.4,0.7,0.0,GAME CASINO,1821678,301722,110833,52012,296421,70.53,11.68,4.29,2.01,11.48,False
527,2,Slotomania™ Slots: Casino Slot Machine Games,1822223,50.0,4,0.8,1.7,0.0,GAME CASINO,1293272,259642,102017,42902,124388,70.97,14.25,5.6,2.35,6.83,False
528,3,Teen Patti Gold – Indian Family Card Game,1529589,50.0,4,1.0,1.9,0.0,GAME CASINO,1210258,112027,46530,24581,136190,79.12,7.32,3.04,1.61,8.9,False
529,4,Teen Patti by Octro - Real 3 Patti Game,1494419,50.0,4,0.3,0.5,0.0,GAME CASINO,1080443,110156,68549,41577,193691,72.3,7.37,4.59,2.78,12.96,False
530,5,Coin Dozer: Sweepstakes,1485440,50.0,4,0.3,0.6,0.0,GAME CASINO,1102560,158208,85517,34400,104752,74.22,10.65,5.76,2.32,7.05,False
531,6,House of Fun: Play Casino Slots,1418336,10.0,4,0.9,1.6,0.0,GAME CASINO,1065696,180009,82885,28435,61309,75.14,12.69,5.84,2.0,4.32,False
532,7,Scatter Slots - Las Vegas Casino Game 777 Online,1259099,10.0,4,0.9,1.9,0.0,GAME CASINO,933699,202401,78707,14826,29463,74.16,16.08,6.25,1.18,2.34,False
533,8,Lucky Day - Win Real Rewards,1006982,10.0,3,0.2,0.5,0.0,GAME CASINO,649353,60917,44026,37669,215015,64.49,6.05,4.37,3.74,21.35,False
534,9,Jackpot Party Casino Games: Spin FREE Casino Slots,925068,10.0,4,1.0,1.9,0.0,GAME CASINO,671012,153638,52961,14029,33425,72.54,16.61,5.73,1.52,3.61,False
535,10,Huuuge Casino™ Free Slots & Best Slot Machines 777,755734,10.0,4,0.4,1.0,0.0,GAME CASINO,533316,88102,42476,19261,72576,70.57,11.66,5.62,2.55,9.6,False
536,11,DoubleU Casino - Free Slots,664469,10.0,4,0.6,1.2,0.0,GAME CASINO,458507,97014,48182,19338,41426,69.0,14.6,7.25,2.91,6.23,False
537,12,Jackpot Slot Machines - Slots Era™ Vegas Casino,649856,5.0,4,0.8,1.8,0.0,GAME CASINO,476204,106016,39009,8107,20518,73.28,16.31,6.0,1.25,3.16,False
538,13,Caesars Slots: Casino Slots game,617349,10.0,4,0.9,1.8,0.0,GAME CASINO,424459,77519,39348,19359,56661,68.76,12.56,6.37,3.14,9.18,False
539,14,myVEGAS Slots: Las Vegas Casino Games & Slots,616294,10.0,4,0.0,0.0,0.0,GAME CASINO,457055,82563,30766,13683,32225,74.16,13.4,4.99,2.22,5.23,False
540,15,DH Texas Poker - Texas Hold'em,583815,10.0,4,0.0,0.1,0.0,GAME CASINO,380317,79701,41575,16718,65502,65.14,13.65,7.12,2.86,11.22,False
541,16,Gold Fish Casino Slots - FREE Slot Machine Games,556639,10.0,4,0.3,0.5,0.0,GAME CASINO,459497,44454,15369,7774,29543,82.55,7.99,2.76,1.4,5.31,False
542,17,BLACKJACK!,544905,10.0,4,0.0,0.1,0.0,GAME CASINO,392404,100738,26490,5663,19608,72.01,18.49,4.86,1.04,3.6,False
543,18,Hit it Rich! Lucky Vegas Casino Slot Machine Game,493071,5.0,4,0.2,0.5,0.0,GAME CASINO,344195,68441,30992,14931,34510,69.81,13.88,6.29,3.03,7.0,False
544,19,Cash Frenzy™ Casino – Free Slots Games,485882,10.0,4,0.2,0.5,0.0,GAME CASINO,404060,44200,14354,6230,17036,83.16,9.1,2.95,1.28,3.51,False
545,20,Wizard of Oz Free Slots Casino,482246,10.0,4,0.4,0.9,0.0,GAME CASINO,377560,57203,20891,7865,18725,78.29,11.86,4.33,1.63,3.88,False
546,21,Dummy ดัมมี่ ไพ่แคง เกมไพ่ฟรี,477132,10.0,4,227105.7,2.2,0.0,GAME CASINO,367411,48463,28359,9074,23822,77.0,10.16,5.94,1.9,4.99,False
547,22,Full House Casino - Free Vegas Slots Machine Games,455282,5.0,4,0.1,0.1,0.0,GAME CASINO,365871,33169,22482,7247,26511,80.36,7.29,4.94,1.59,5.82,False
548,23,Slots (Golden HoYeah) - Casino Slots,431936,10.0,4,0.6,1.1,0.0,GAME CASINO,299466,49060,33254,12770,37384,69.33,11.36,7.7,2.96,8.66,False
549,24,Luxy Poker-Online Texas Holdem,423010,5.0,4,0.3,0.7,0.0,GAME CASINO,298900,42958,25401,11181,44567,70.66,10.16,6.0,2.64,10.54,False
550,25,Vegas Slots - DoubleDown Casino,422035,10.0,4,0.5,1.1,0.0,GAME CASINO,286143,56390,26064,15856,37580,67.8,13.36,6.18,3.76,8.9,False
551,26,Texas HoldEm Poker Deluxe,401912,10.0,4,0.0,0.0,0.0,GAME CASINO,280648,56377,27394,8958,28533,69.83,14.03,6.82,2.23,7.1,False
552,27,เก้าเกไทย,394704,10.0,4,0.1,0.3,0.0,GAME CASINO,309185,26459,17197,8513,33346,78.33,6.7,4.36,2.16,8.45,False
553,28,Cashman Casino: Casino Slots Machines! 2M Free!,392274,10.0,4,1.1,2.2,0.0,GAME CASINO,289544,46703,20683,9892,25450,73.81,11.91,5.27,2.52,6.49,False
554,29,Slots: Heart of Vegas™ – Free Casino Slots Games,377401,10.0,4,0.3,0.6,0.0,GAME CASINO,258486,45068,23157,11678,39010,68.49,11.94,6.14,3.09,10.34,False
555,30,Casino Jackpot Slots - Infinity Slots™ 777 Game,367694,1.0,4,0.1,0.1,0.0,GAME CASINO,278174,55844,18491,4517,10665,75.65,15.19,5.03,1.23,2.9,False
556,31,my KONAMI Slots - Casino Games & Fun Slot Machines,351166,5.0,4,0.5,1.2,0.0,GAME CASINO,248240,47419,22591,9903,23011,70.69,13.5,6.43,2.82,6.55,False
557,32,POP! Slots ™- Free Vegas Casino Slot Machine Games,343727,10.0,4,2.8,6.1,0.0,GAME CASINO,277118,21504,10762,6273,28067,80.62,6.26,3.13,1.83,8.17,False
558,33,Tycoon Casino Free Slots: Vegas Slot Machine Games,333168,5.0,4,0.9,2.0,0.0,GAME CASINO,293637,16901,7210,3485,11931,88.14,5.07,2.16,1.05,3.58,False
559,34,GSN Casino: Slots and Casino Games - Vegas Slots,318101,10.0,4,0.2,0.4,0.0,GAME CASINO,218298,35139,19922,11200,33540,68.63,11.05,6.26,3.52,10.54,False
560,35,Slots Pharaoh's Way Casino Games & Slot Machine,316679,10.0,4,0.1,0.2,0.0,GAME CASINO,252941,33956,12697,4255,12827,79.87,10.72,4.01,1.34,4.05,False
561,36,Lotsa Slots - Free Vegas Casino Slot Machines,313214,10.0,4,3.2,7.8,0.0,GAME CASINO,244252,38385,15608,4462,10504,77.98,12.26,4.98,1.42,3.35,False
562,37,Big Fish Casino - Play Slots and Casino Games,312113,10.0,4,0.0,0.0,0.0,GAME CASINO,238241,41399,13246,4698,14526,76.33,13.26,4.24,1.51,4.65,False
563,38,Tiến lên Miền Nam - Tiến Lên - ZingPlay,306937,10.0,4,0.8,1.6,0.0,GAME CASINO,248156,14000,6875,3866,34038,80.85,4.56,2.24,1.26,11.09,False
564,39,Club Vegas 2021: New Slots Games & Casino bonuses,306128,5.0,4,4.9,12.1,0.0,GAME CASINO,266535,19491,6879,2721,10498,87.07,6.37,2.25,0.89,3.43,False
565,40,麻將 明星3缺1麻將–台灣16張麻將Mahjong 、SLOT、Poker,292630,5.0,4,0.5,0.9,0.0,GAME CASINO,207533,29742,13572,5187,36593,70.92,10.16,4.64,1.77,12.5,False
566,41,Billionaire Casino Slots - The Best Slot Machines,272892,10.0,4,1.1,2.4,0.0,GAME CASINO,194550,29431,13763,6678,28469,71.29,10.78,5.04,2.45,10.43,False
567,42,Jackpot World™ - Free Vegas Casino Slots,272095,5.0,4,225.1,5.5,0.0,GAME CASINO,206509,33265,13164,4388,14767,75.9,12.23,4.84,1.61,5.43,False
568,43,"GAMEE Prizes - Play Free Games, WIN REAL CASH!",266126,10.0,4,5550.2,14.5,0.0,GAME CASINO,176379,35942,22679,9287,21836,66.28,13.51,8.52,3.49,8.21,False
569,44,NEW SLOTS 2021－free casino games & slot machines,265946,5.0,4,0.9,1.8,0.0,GAME CASINO,219920,23950,8698,2822,10553,82.69,9.01,3.27,1.06,3.97,False
570,45,Quick Hit Casino Games - Free Casino Slots Games,264556,10.0,4,0.5,1.1,0.0,GAME CASINO,189320,36506,18622,5091,15015,71.56,13.8,7.04,1.92,5.68,False
571,46,Tongits Go-Exciting and Competitive Card Game,258755,10.0,4,6.1,13.5,0.0,GAME CASINO,222685,12554,7642,3397,12474,86.06,4.85,2.95,1.31,4.82,False
572,47,Gaminator Casino Slots - Play Slot Machines 777,215021,5.0,4,1.0,2.3,0.0,GAME CASINO,170145,17010,7086,3398,17380,79.13,7.91,3.3,1.58,8.08,False
573,48,ไพ่เท็กซัสโบย่า-Boyaa Texas Poker โป๊กเกอร์มือโปร,211680,5.0,4,0.2,0.4,0.0,GAME CASINO,160936,22352,11006,3828,13555,76.03,10.56,5.2,1.81,6.4,False
574,49,Double Win Casino Slots - Free Video Slots Games,211511,1.0,4,1.1,2.2,0.0,GAME CASINO,174952,18748,7633,2843,7333,82.72,8.86,3.61,1.34,3.47,False
575,50,UTP - Ultimate Teen Patti (3 Patti),208279,10.0,4,0.4,0.7,0.0,GAME CASINO,146678,19467,7368,4159,30605,70.42,9.35,3.54,2.0,14.69,False
576,51,Free Slot Machines with Bonus Games!,207326,5.0,4,0.2,0.5,0.0,GAME CASINO,189655,7941,3925,1388,4415,91.48,3.83,1.89,0.67,2.13,False
577,52,Hot Shot Casino Free Slots Games: Real Vegas Slots,204371,5.0,4,0.2,0.4,0.0,GAME CASINO,147841,26775,14092,3867,11793,72.34,13.1,6.9,1.89,5.77,False
578,53,Bingo Tycoon,189656,10.0,4,54.5,0.0,0.0,GAME CASINO,127766,19807,11872,6245,23964,67.37,10.44,6.26,3.29,12.64,False
579,54,Coin Dozer: Casino,183628,5.0,4,0.6,1.1,0.0,GAME CASINO,141239,20865,10352,3829,7340,76.92,11.36,5.64,2.09,4.0,False
580,55,MONOPOLY Slots - Slot Machines,179520,5.0,4,1.1,2.2,0.0,GAME CASINO,139632,11699,5599,3789,18798,77.78,6.52,3.12,2.11,10.47,False
581,56,Willy Wonka Slots Free Casino,179001,1.0,4,0.5,1.1,0.0,GAME CASINO,138485,21446,8344,2918,7805,77.37,11.98,4.66,1.63,4.36,False
582,57,88 Fortunes Casino Games & Free Slot Machine Games,177051,1.0,4,0.7,1.4,0.0,GAME CASINO,154436,8822,3644,1672,8474,87.23,4.98,2.06,0.94,4.79,False
583,58,Roulette Royale - FREE Casino,174066,10.0,4,1.4,2.7,0.0,GAME CASINO,123770,19227,11002,5367,14697,71.11,11.05,6.32,3.08,8.44,False
584,59,Slots Free - Big Win Casino™,173372,5.0,4,0.0,0.0,0.0,GAME CASINO,126569,21203,10941,4076,10581,73.01,12.23,6.31,2.35,6.1,False
585,60,Pmang Poker : Casino Royal,172651,5.0,4,0.7,0.9,0.0,GAME CASINO,106066,26042,13410,4426,22704,61.43,15.08,7.77,2.56,13.15,False
586,61,Slotpark - Online Casino Games & Free Slot Machine,172200,5.0,4,1.4,3.0,0.0,GAME CASINO,123431,19427,8684,4217,16439,71.68,11.28,5.04,2.45,9.55,False
587,62,Slots Casino - Jackpot Mania,170510,5.0,4,0.3,0.6,0.0,GAME CASINO,144759,10409,4881,2271,8188,84.9,6.1,2.86,1.33,4.8,False
588,63,Bingo by Alisa - Free Live Multiplayer Bingo Games,154112,1.0,4,0.0,0.0,0.0,GAME CASINO,119255,21177,7308,2113,4257,77.38,13.74,4.74,1.37,2.76,False
589,64,Poker Texas Boyaa,146663,5.0,3,0.1,0.2,0.0,GAME CASINO,84613,13974,13184,5793,29096,57.69,9.53,8.99,3.95,19.84,False
590,65,Scratch Day,145635,5.0,3,0.1,0.3,0.0,GAME CASINO,88085,17381,12934,5744,21490,60.48,11.93,8.88,3.94,14.76,False
591,66,Cổng game ZingPlay - Game bài - Game cờ - Tiến lên,142948,10.0,3,1.5,3.1,0.0,GAME CASINO,95538,7899,5039,2809,31659,66.84,5.53,3.53,1.97,22.15,False
592,67,Slot Machine - FREE Casino,141345,10.0,4,11.4,22.9,0.0,GAME CASINO,83149,26077,14384,5285,12447,58.83,18.45,10.18,3.74,8.81,False
593,68,Rock N' Cash Casino Slots -Free Vegas Slot Games,140882,1.0,4,2.5,5.6,0.0,GAME CASINO,103574,20093,9394,2580,5239,73.52,14.26,6.67,1.83,3.72,False
594,69,Slots: Get Rich Free Slots Casino Games Offline,139860,1.0,4,0.7,1.4,0.0,GAME CASINO,126642,5717,2420,1095,3984,90.55,4.09,1.73,0.78,2.85,False
595,70,Bingo Journey - Lucky & Fun Casino Bingo Games,138883,1.0,4,2.4,4.7,0.0,GAME CASINO,103586,18665,8883,2911,4835,74.59,13.44,6.4,2.1,3.48,False
596,71,Best Casino Free Slots: Casino Slot Machine Games,131646,1.0,4,0.0,0.0,0.0,GAME CASINO,85071,22022,10736,4148,9666,64.62,16.73,8.16,3.15,7.34,False
597,72,Stars Slots - Casino Games,126322,1.0,4,2.6,5.6,0.0,GAME CASINO,103766,10635,5038,1742,5138,82.15,8.42,3.99,1.38,4.07,False
598,73,Jackpot Magic Slots™: Social Casino & Slot Games,125918,5.0,4,0.1,0.2,0.0,GAME CASINO,88160,15582,6712,2896,12565,70.02,12.38,5.33,2.3,9.98,False
599,74,Bingo Holiday: Free Bingo Games,123277,1.0,4,3.6,6.3,0.0,GAME CASINO,90489,20226,8054,1588,2918,73.4,16.41,6.53,1.29,2.37,False
600,75,Free Slots!,122801,5.0,4,0.8,1.9,0.0,GAME CASINO,110967,5426,2458,1019,2928,90.37,4.42,2.0,0.83,2.38,False
601,76,ไพ่แคง-รวมดัมมี่dummy ป๊อกเด้ง เก้าเกไทย เกมไพ่ฟรี,120434,1.0,4,1.5,3.0,0.0,GAME CASINO,104694,7396,4236,1375,2731,86.93,6.14,3.52,1.14,2.27,False
602,77,Cash Storm Casino - Free Vegas Jackpot Slots Games,117668,1.0,4,106.2,4.2,0.0,GAME CASINO,102696,5785,3091,1401,4692,87.28,4.92,2.63,1.19,3.99,False
603,78,Free Slots Casino - Adventures,116891,1.0,4,0.0,0.1,0.0,GAME CASINO,103484,5940,2023,807,4634,88.53,5.08,1.73,0.69,3.96,False
604,79,myVEGAS Blackjack 21 - Free Vegas Casino Card Game,116673,1.0,4,0.1,0.1,0.0,GAME CASINO,93674,13383,3198,1609,4807,80.29,11.47,2.74,1.38,4.12,False
605,80,Cash Blitz Free Slots: Casino Slot Machine Games,112869,1.0,4,4.1,9.6,0.0,GAME CASINO,102054,5274,2202,730,2607,90.42,4.67,1.95,0.65,2.31,False
606,81,SLOTS - Black Diamond Casino,107509,1.0,4,0.1,0.2,0.0,GAME CASINO,79688,14753,3703,2096,7267,74.12,13.72,3.44,1.95,6.76,False
607,82,Winning Slots casino games:free vegas slot machine,107253,5.0,4,0.3,0.7,0.0,GAME CASINO,83222,6679,4141,3006,10203,77.6,6.23,3.86,2.8,9.51,False
608,83,ไพ่เท็กซัสไทย HD,103380,1.0,4,0.0,0.1,0.0,GAME CASINO,78160,10300,5230,1980,7710,75.6,9.96,5.06,1.92,7.46,False
609,84,Vegas Downtown Slots™ - Slot Machines & Word Games,102352,1.0,4,0.0,0.0,0.0,GAME CASINO,76766,11076,5291,2353,6863,75.0,10.82,5.17,2.3,6.71,False
610,85,ดัมมี่ไทยแลนด์-รวมไพ่แคง เก้าเก ไฮโล เกมไพ่ฟรี,100479,1.0,4,2.4,5.5,0.0,GAME CASINO,91237,3977,2043,877,2342,90.8,3.96,2.03,0.87,2.33,False
611,86,Bingo™,99465,5.0,4,0.0,0.0,0.0,GAME CASINO,71856,12049,6509,2619,6429,72.24,12.11,6.54,2.63,6.46,False
612,87,Slots on Tour Casino - Vegas Slot Machine Games HD,99082,0.5,4,0.1,0.2,0.0,GAME CASINO,78458,14511,3405,749,1957,79.19,14.65,3.44,0.76,1.98,False
613,88,Lightning Link Casino: Best Vegas Casino Slots!,97488,5.0,4,3.1,5.5,0.0,GAME CASINO,64510,12362,5972,3254,11387,66.17,12.68,6.13,3.34,11.68,False
614,89,Spin Day - Win Real Money,94814,1.0,3,0.1,0.2,0.0,GAME CASINO,47906,8026,7360,4920,26599,50.53,8.47,7.76,5.19,28.05,False
615,90,Old Vegas Slots – Classic Slots Casino Games,94628,1.0,4,0.2,0.3,0.0,GAME CASINO,78741,7178,3029,1389,4289,83.21,7.59,3.2,1.47,4.53,False
616,91,Royal Casino,92912,5.0,4,2.1,5.4,0.0,GAME CASINO,67690,7454,4956,2668,10142,72.86,8.02,5.33,2.87,10.92,False
617,92,OMG! Fortune Slots - Grand Casino Games,90370,1.0,4,0.0,0.0,0.0,GAME CASINO,68116,10388,5149,1826,4889,75.38,11.5,5.7,2.02,5.41,False
618,93,Blackjack 21,90110,1.0,4,0.0,0.0,0.0,GAME CASINO,65034,10141,3586,2191,9155,72.17,11.25,3.98,2.43,10.16,False
619,94,Bingo Blaze - Free Bingo Games,89886,1.0,4,0.7,1.4,0.0,GAME CASINO,72362,9441,4365,1308,2407,80.51,10.5,4.86,1.46,2.68,False
620,95,Fun Big 2,87528,1.0,4,0.0,0.0,0.0,GAME CASINO,73570,6359,3015,1128,3454,84.06,7.27,3.44,1.29,3.95,False
621,96,Lotto Scratch – Las Vegas,87102,1.0,4,0.2,0.5,0.0,GAME CASINO,72719,6222,2636,1238,4284,83.49,7.14,3.03,1.42,4.92,False
622,97,Slots: Free Slot Machines,86366,1.0,4,0.3,0.9,0.0,GAME CASINO,66745,8015,4197,2003,5403,77.28,9.28,4.86,2.32,6.26,False
623,98,Jackpot Crush – Free Vegas Slot Machines,85258,1.0,4,4.2,9.7,0.0,GAME CASINO,68846,9410,2950,960,3090,80.75,11.04,3.46,1.13,3.62,False
624,99,High 5 Casino: The Home of Fun & Free Vegas Slots,84646,1.0,4,0.2,0.5,0.0,GAME CASINO,60073,8840,4614,2856,8260,70.97,10.44,5.45,3.37,9.76,False
625,100,Slots! CashHit Slot Machines & Casino Games Party,83313,1.0,4,0.1,0.3,0.0,GAME CASINO,64498,9941,3313,1247,4311,77.42,11.93,3.98,1.5,5.17,False
626,1,Candy Crush Saga,31367945,1000.0,4,0.9,1.6,0.0,GAME CASUAL,23837448,4176798,1534041,486005,1333650,75.99,13.32,4.89,1.55,4.25,False
